Scenario,Step Type,Step Text,Value,Latency,Variable Path
Vehicle Held on 5% Grade Front GVM Wet,Given_1,the road grdient is 5% VehRoadGrEst value=280,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 5% Grade Front GVM Wet,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 5% Grade Front GVM Wet,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 5% Grade Front GVM Wet,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 5% Grade Front GVM Wet,Then_1,the torque should be requested FbrkTqRqRl value=15000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 5% Grade Front GVM Wet,Then_2,the torque should be requested FbrkTqRqRr value=15000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 5% Grade Front GVM Wet,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 5% Grade Front GVM Wet,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 5% Grade Distributed GVM Wet,Given_1,the road grdient is 5% VehRoadGrEst value=280,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 5% Grade Distributed GVM Wet,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 5% Grade Distributed GVM Wet,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 5% Grade Distributed GVM Wet,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 5% Grade Distributed GVM Wet,Then_1,the torque should be requested FbrkTqRqRl value=10000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 5% Grade Distributed GVM Wet,Then_2,the torque should be requested FbrkTqRqRr value=10000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
